1754258400000000,16886028.00000000,16894386.00000000,16825952.00000000,16862481.00000000,3.12078300,1754261999999999,52593348.46839700,669,0.83029200,13998814.04126700,0
1754262000000000,16862481.00000000,16890294.00000000,16842541.00000000,16855224.00000000,1.24713600,1754265599999999,21026948.17611000,412,0.72956200,12297966.43296400,0
1754265600000000,16855502.00000000,16991347.00000000,16855502.00000000,16990652.00000000,2.66175000,1754269199999999,45045623.86681200,641,1.52090700,25742475.82757000,0
1754269200000000,16991347.00000000,17027361.00000000,16968772.00000000,16982064.00000000,2.12638200,1754272799999999,36135435.19998500,698,1.19531100,20311661.27917100,0
1754272800000000,16981538.00000000,17006930.00000000,16932447.00000000,17005620.00000000,1.52804300,1754276399999999,25931145.41589700,510,1.07246100,18198303.41243300,0
1754276400000000,17005639.00000000,17005639.00000000,16957553.00000000,16967995.00000000,2.68264900,1754279999999999,45539317.80432900,399,1.32067300,22423963.72910200,0
1754280000000000,16967640.00000000,16974635.00000000,16931524.00000000,16944072.00000000,10.49013500,1754283599999999,177829283.88399100,904,8.69811300,147445678.16685000,0
1754283600000000,16944839.00000000,16957787.00000000,16921244.00000000,16953197.00000000,4.74333800,1754287199999999,80352474.03940200,509,3.59022400,60820510.52990300,0
1754287200000000,16953072.00000000,16962473.00000000,16912996.00000000,16931387.00000000,7.40373100,1754290799999999,125359686.35324200,551,5.16567100,87456892.04842100,0
1754290800000000,16931447.00000000,17029086.00000000,16931447.00000000,16998954.00000000,1.58141800,1754294399999999,26844764.04020500,472,0.83101500,14097499.64546700,0
1754294400000000,16998372.00000000,17021674.00000000,16972348.00000000,16980363.00000000,1.82954100,1754297999999999,31095669.93892300,332,1.21138500,20587460.44717000,0
1754298000000000,16983876.00000000,16992328.00000000,16930927.00000000,16933456.00000000,1.43950600,1754301599999999,24413116.78822400,277,0.21845200,3709049.03427400,0
1754301600000000,16935147.00000000,16958507.00000000,16898058.00000000,16899259.00000000,0.94843600,1754305199999999,16065135.59740600,346,0.41211800,6980572.62439400,0
1754305200000000,16898713.00000000,16915657.00000000,16882404.00000000,16910405.00000000,2.36847100,1754308799999999,40027858.28442600,461,0.82218500,13894176.29048700,0
1754308800000000,16909948.00000000,16912154.00000000,16848256.00000000,16873441.00000000,1.79741800,1754312399999999,30327352.99092700,388,1.14388000,19291860.30657900,0
1754312400000000,16874872.00000000,16933665.00000000,16816901.00000000,16932233.00000000,4.18127000,1754315999999999,70566059.78370800,891,2.16329200,36500417.68840800,0
1754316000000000,16932652.00000000,17003153.00000000,16907605.00000000,16916051.00000000,4.77125400,1754319599999999,80954958.53424000,1047,1.94387100,32995870.82858600,0
1754319600000000,16916787.00000000,16969964.00000000,16899603.00000000,16929408.00000000,2.26300600,1754323199999999,38319985.37395900,693,1.34699800,22807229.97147100,0
1754323200000000,16927792.00000000,17006253.00000000,16927792.00000000,16991108.00000000,1.42398300,1754326799999999,24157649.51334500,579,1.06995500,18150112.43553800,0
1754326800000000,16991105.00000000,17046455.00000000,16960280.00000000,16962071.00000000,1.81045100,1754330399999999,30788758.36641600,523,0.96135600,16348075.76736600,0
1754330400000000,16963562.00000000,16973992.00000000,16921509.00000000,16928932.00000000,0.91444600,1754333999999999,15503610.83400200,331,0.65036600,11026136.67336700,0
1754334000000000,16927239.00000000,16947454.00000000,16897461.00000000,16907142.00000000,0.98130300,1754337599999999,16603412.22673200,409,0.37245000,6304606.56348400,0
1754337600000000,16904657.00000000,16952110.00000000,16886659.00000000,16921768.00000000,0.88040600,1754341199999999,14894373.78677300,406,0.51838800,8765539.81995900,0
1754341200000000,16921629.00000000,16983594.00000000,16921629.00000000,16964629.00000000,0.66880600,1754344799999999,11335497.91183700,286,0.38090500,6455781.57395700,0
1754344800000000,16965935.00000000,16977713.00000000,16943226.00000000,16975711.00000000,0.56311500,1754348399999999,9554107.56659300,321,0.41460400,7034422.96294900,0
1754348400000000,16975703.00000000,16977587.00000000,16921641.00000000,16921641.00000000,1.87062200,1754351999999999,31711351.13796600,330,0.47265300,8008287.92001900,0
1754352000000000,16921641.00000000,16946124.00000000,16896556.00000000,16911778.00000000,3.00304500,1754355599999999,50793084.39417200,608,2.02977000,34328696.29682100,0
1754355600000000,16910390.00000000,16950813.00000000,16899701.00000000,16901443.00000000,5.54987300,1754359199999999,93944137.54066500,812,3.44213500,58268120.04122000,0
